직무,중분류_1,중분류_2,태그_1,태그_2,태그_3,태그_4,태그_5,태그_6,태그_7,태그_8,태그_9,태그_10,태그_11,태그_12,태그_13,태그_14,태그_15,태그_16,태그_17,태그_18,태그_19,태그_20,태그_21
경영·진단 전문가,정보기술,,재택 근무,외부 고객 대하기,실내 근무,설득,협상,"수리, 논리력",대인관계능력,영업과 마케팅,경제와 회계,경영 및 행정,인사,데이터 분석,보고서 작성,재무제표 해석,경영지도사,기술지도사,높은 수준,분석적 사고,리더십,성취,
컴퓨터시스템 전문가,정보기술,,재택 근무,앉아서 근무하기,실내 근무,통신,컴퓨터와 전자공학,높은 수준,분석적 사고,꼼꼼함,현실형,다양성,,,,,,,,,,,
응용 소프트웨어 개발자,정보기술,통신기술,재택 근무,앉아서 근무하기,"수리, 논리력",통신,컴퓨터와 전자공학,낮은 수준,분석적 사고,꼼꼼함,관습형,성취,,,,,,,,,,,
시스템 소프트웨어 개발자,정보기술,통신기술,재택 근무,앉아서 근무하기,"수리, 논리력",전자계산기기사,정보처리기사,낮은 수준,분석적 사고,꼼꼼함,현실형,성취,,,,,,,,,,,
광고·홍보 전문가,정보기술,,실내 근무,신뢰성,진취형,성취,,,,,,,,,,,,,,,,,
데이터 전문가,정보기술,,실내 근무,"수리, 논리력",빅데이터분석기사,사회조사분석사,정보처리기사,데이터분석(준)전문가,SQLD,SQLP,DAP,DAsP,높은 수준,꼼꼼함,탐구형,성취,,,,,,,
정보보안 전문가,정보기술,,앉아서 근무하기,실내 근무,"수리, 논리력",통신,컴퓨터와 전자공학,네트워크,정보처리기사,정보보안기사,정보시스템감리사,정보시스템감사사,정보관리기술사,Spring,Python,Java,낮은 수준,분석적 사고,꼼꼼함,관습형,지적 추구,,
웹 개발자,정보기술,통신기술,앉아서 근무하기,실내 근무,통신,컴퓨터와 전자공학,웹디자인기능사,정보처리기사,리눅스마스터,OCP,SQLD,SQLP,Django,Spring,HTML/CSS,Java,Python,JavaScript,평균 수준,분석적 사고,꼼꼼함,현실형,성취
네트워크 시스템 개발자,정보기술,통신기술,앉아서 근무하기,실내 근무,통신,컴퓨터와 전자공학,전자계산기기사,정보처리기사,정보통신기사,C#,높은 수준,분석적 사고,꼼꼼함,관습형,인정,,,,,,,,
정보시스템 운영자,정보기술,방송기술,재택 근무,앉아서 근무하기,실내 근무,"수리, 논리력",통신,컴퓨터와 전자공학,높은 수준,분석적 사고,책임감,꼼꼼함,관습형,개인지향,,,,,,,,,
인사·교육·훈련 사무원,정보기술,,앉아서 근무하기,실내 근무,설득,인적자원관리,인사,사무,평균 수준,정직성,꼼꼼함,관습형,지적 추구,,,,,,,,,,
기술 영업원,정보기술,,실외 근무,전화 대화하기,설득,대인관계능력,영업과 마케팅,전자상거래관리사,컴퓨터활용능력,정보처리기사,리눅스마스터,OCP,SQLD,SQLP,낮은 수준,사회성,신뢰성,진취형,성취,,,,
기획·마케팅 사무원,정보기술,,실내 근무,"수리, 논리력",설득,영업과 마케팅,Figma,Excel,PowerPoint,Google Analytics,컴퓨터활용능력,MS-Office,높은 수준,꼼꼼함,진취형,다양성,,,,,,,
광고·홍보 전문가,정보기술,,초과 근무,설득,대인관계능력,창의력,영업과 마케팅,높은 수준,신뢰성,진취형,성취,,,,,,,,,,,,
기타 컴퓨터 전문가 및 소프트웨어 전문가,정보기술,,실내 근무,전자계산기기사,정보처리기사,MCP,OCP,꼼꼼함,관습형,영향력,,,,,,,,,,,,,
로봇공학 기술자 및 연구원,정보기술,,"연구소, 실험실","수리, 논리력",공간지각력,높은 수준,분석적 사고,탐구형,성취,,,,,,,,,,,,,,
통신공학 기술자 및 연구원,통신기술,방송기술,"연구소, 실험실","수리, 논리력",공간지각력,컴퓨터와 전자공학,정보통신기사,통신설비기능장,전파전자통신기사,방송통신기사,높은 수준,분석적 사고,꼼꼼함,탐구형,성취,,,,,,,,
방송·통신·인터넷 케이블 설치·수리원,통신기술,,실외 근무,전화 대화하기,설치,손재주,"고장의 발견, 수리",통신,컴퓨터와 전자공학,정보통신기사,무선설비기사,방송통신기사,낮은 수준,꼼꼼함,현실형,개인지향,,,,,,,
통신·방송송출 장비 기사,통신기술,방송기술,교대 근무,전화 대화하기,무선설비기사,방송통신기사,꼼꼼함,현실형,개인지향,,,,,,,,,,,,,,
통신 기기·서비스 판매원,통신기술,,사람들과 직접 접촉,설득,통신,영업과 마케팅,낮은 수준,사회성,스트레스 감내성,현실형,성취,,,,,,,,,,,,
미디어 콘텐츠 디자이너,통신기술,,초과 근무,실내 근무,낮은 수준,꼼꼼함,예술형,성취,,,,,,,,,,,,,,,
방송장비 설치·수리원,방송기술,,실외 근무,사람들과 직접 접촉,설치,"고장의 발견, 수리","통신, 기계",무선설비기사,방송통신기사,높은 수준,스트레스 감내성,현실형,이타,,,,,,,,,,