id_jobs,name_jobs
54,기술 영업원
239,제품·광고 영업원
297,해외 영업원
27,경영·진단 전문가
282,투자·신용 분석가
124,부동산 컨설턴트 및 중개인
29,고객 상담원 및 모니터 요원
12,감정 전문가
310,회계사
72,기획·마케팅 사무원
264,총무 사무원 및 대학 행정조교
186,웹 운영자
148,소규모 상점 경영 및 일선 관리 종사원
185,웹 개발자
136,상품 중개인 및 경매사
275,텔레마케터
110,방문 판매원
135,상점 판매원
177,온라인 판매원
254,직업상담사
32,공공행정 사무원
43,국가·지방행정 사무원
232,정부·공공행정 전문가
26,경비원(건물 관리원)
28,경호원
160,시설·특수 경비원
263,청원경찰
3,가사 도우미
262,청소원
96,메이크업 아티스트 및 분장사
104,미용사
199,이용사
290,피부 및 체형 관리사
22,결혼상담원 및 웨딩플래너
216,장례 지도사 및 장례 상담원
299,혼례 종사원
245,조사 전문가
298,행사 기획자
155,숙박시설 서비스원
62,기타 스포츠 및 여가서비스 종사원
300,홀서빙원
172,여행 사무원
173,여행 안내원 및 해설사
174,여행상품 개발자
294,항공기 객실승무원
175,연예인매니저 및 스포츠매니저
23,경기 심판 및 경기 기록원
156,스포츠 감독 및 코치
157,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가"
66,기타 음식 서비스 종사원
107,바텐더
168,양식 조리사
193,음료 조리사
204,일식 조리사
250,중식 조리사
293,한식 조리사
20,건축가
21,건축공학 기술자
276,토목공학 기술자
16,건설·채굴 기계 운전원
13,강구조물 가공원 및 건립원
19,건축 석공
268,측량·지리정보 전문가
69,기타 채굴·토목 종사원
260,철로 설치·보수원
18,건축 목공
24,경량철골공
247,조적공 및 석재부설원
257,철근공
272,콘크리트공
17,건축 도장공
56,기타 건축 마감 기능원
82,단열공
90,도배공 및 유리 부착원
105,미장공
106,바닥재 시공원
113,방수공
137,새시 조립·설치원
14,건설 배관공
53,기계공학 기술자 및 연구원
34,공업기계 설치·정비원
33,공업 배관공
307,환경공학 기술자 및 연구원
226,전기공학 기술자 및 연구원
75,내선 전기공
132,산업 전기공
303,화학공학 기술자 및 연구원
241,조경 기술자
242,조경원
91,도시·교통 전문가
15,건설·광업 기계 설치·정비원
102,물품이동장비 조작원(크레인·호이스트·지게차)
46,금속·재료공학 기술자 및 연구원
149,소방공학 기술자 및 연구원
5,가스·에너지공학 기술자 및 연구원
265,촬영 기사
181,용접원
213,자연과학 연구원
41,광고·홍보 전문가
94,로봇공학 기술자 및 연구원
214,자재·구매·물류 사무원
45,금속 공작기계 조작원
52,기계·로봇공학 시험원
203,일반기계 조립원
139,생산·품질 사무원
161,시스템 소프트웨어 개발자
229,전자공학 기술자 및 연구원
77,냉동·냉장·공조기 설치·정비원
81,농업용 및 기타 기계장비 설치·정비원
101,물품이동장비 설치·정비원
120,보일러 설치·정비원
158,승강기 설치·정비원
76,냉·난방 설비 조작원
65,기타 운송장비 정비원
92,도장원(도장기조작원)
209,자동차 영업원
210,자동차 정비원
208,자동차 부품 조립원
211,자동차 조립원
259,철도기관차·전동차 정비원
183,운송장비 조립원
258,철도·전동차 기관사
55,기타 건설 구조 기능원
47,금속·재료공학 시험원
281,통신장비 설치·수리원
141,선박 정비원
236,제관원
284,판금원
143,"선장, 항해사 및 도선사"
50,금속기계부품 조립원
295,항공기 정비원
223,전기·전자 부품·제품 조립원
51,금형원
48,금속가공 기계 조작원
49,금속가공 제어장치 조작원
83,단조기조작원
84,단조원
248,주조기조작원
249,주조원
89,도금·금속분무기 조작원
180,용접기조작원
235,제관기조작원
283,판금기조작원
131,산업 안전원 및 위험 관리원
304,화학공학 시험원
140,석유·천연가스 제조 제어장치 조작원
305,화학물 가공장치 조작원
306,화학제품 생산기계 조작원(고무·플라스틱 제외)
273,타이어·고무제품 생산기계 조작원
289,플라스틱제품 생산기계 조작원
144,섬유 제조기계 조작원
255,직조기·편직기 조작원
288,표백·염색기 조작원
145,섬유공학 기술자 및 연구원
146,섬유공학 시험원
68,기타 직물·신발 기계 조작원 및 조립원
166,실내장식 디자이너
285,패션 디자이너
97,모피·가죽의복 제조원
170,양장·양복 제조원
292,한복 제조원
165,신발 제조기계 조작원 및 조립원
240,제화원
61,기타 섬유·가죽 기능원
218,재단사
219,재봉사
286,패턴사
109,발전·배전 장치 조작원
207,자동조립라인·산업용로봇 조작원
222,전기 부품·제품 생산기계 조작원
224,전기·전자 설비 조작원
225,전기·전자공학 시험원
178,외선 전기공
6,가전제품 설치·수리원
127,사무용 전자기기 설치·수리원
228,전자 부품·제품 생산기계 조작원
198,이동전화기 수리원
269,컴퓨터 설치·수리원
238,제품 디자이너
196,응용 소프트웨어 개발자
215,작가
271,컴퓨터시스템 전문가
270,컴퓨터 하드웨어 기술자 및 연구원
280,통신공학 기술자 및 연구원
78,네트워크 시스템 개발자
88,데이터 전문가
231,정보시스템 운영자
71,기타 컴퓨터 전문가 및 소프트웨어 전문가
230,정보보안 전문가
200,인사·교육·훈련 사무원
103,미디어 콘텐츠 디자이너
111,방송·통신·인터넷 케이블 설치·수리원
279,통신·방송송출 장비 기사
278,통신 기기·서비스 판매원
112,방송장비 설치·수리원
277,통계 사무원
201,인사·노무 전문가
125,비서
227,전산자료 입력원 및 사무 보조원
39,관세행정 사무원
246,조세행정 사무원
25,경리 사무원
309,회계 사무원
38,관세사
147,세무사
11,감사 사무원
100,무역 사무원
30,곡물 가공제품 기계 조작원
63,기타 식품 가공 기계 조작원
189,육류·어패류·낙농품 가공기계 조작원
192,음료 제조기계 조작원
73,김치·밑반찬 제조 종사원
162,식품·담배 등급원
233,정육원 및 도축원
163,식품공학 기술자 및 연구원
164,식품공학 시험원
93,떡 제조원
234,제과·제빵원
159,시각 디자이너
8,간판 제작·설치원
58,기타 사무원
202,인쇄기계 조작원
267,출판물 전문가
1,가구 제조·수리원
2,가구 조립원
99,목제품 제조원
36,공예원
44,귀금속·보석 세공원
308,환경공학 시험원
133,상·하수도 처리장치 조작원
118,보건위생·환경 검사원
138,생명과학 연구원
221,재활용 처리장치·소각로 조작원
126,비파괴 검사원
80,농림어업 시험원
31,곡식작물 재배원
37,과수작물 재배원
184,원예작물 재배원
256,채소·특용작물 재배원
7,가축 사육 종사원
59,기타 사육 종사원
74,낙농 종사원
108,반려동물 미용 및 관리 종사원
57,기타 보건·의료 종사원
154,수의사
98,목재 가공기계 조작원
287,펄프·종이 제조장치 조작원
205,임산물 채취 및 기타 임업 종사원
243,조림?산림경영인 및 벌목원
79,농림어업 단순 종사원
169,양식원
171,어부 및 해녀
142,선박승무원 및 관련 종사원(선박객실 승무원 제외)
122,보험 심사원 및 사무원
153,수금원 및 신용 추심원
191,은행 사무원
251,증권 사무원
266,출납창구 사무원
85,대출 및 신용카드 모집인
123,보험·금융상품 개발자
212,자산 운용가
252,증권·외환 딜러
121,보험 모집인 및 투자 권유 대행인
152,손해사정사
86,대학 교수
87,대학 시간강사
217,장학관·연구관 및 교육 전문가
116,법률 사무원
117,변리사
151,소방관
195,응급구조사
114,방재 기술자 및 연구원
150,소방공학 시험원
9,간호사
179,요양 보호사 및 간병인
187,위생사
197,의무기록사
167,안내·접수원 및 전화교환원
70,기타 치료·재활사 및 의료기사
206,임상심리사
220,재활공학 기사
67,기타 전기·전자 기기 설치·수리원
60,기타 사회복지 종사원
130,사회복지사
134,상담 전문가
261,청소년 지도사
190,육아 도우미
119,보육교사
188,유치원 교사
42,교사보조 및 보육보조 서비스 종사원
10,감독 및 기술감독
64,기타 연극·영화·방송 종사원
176,영상·녹화·편집 기사
194,음향·녹음 기사
244,조명·영사 기사
4,가수 및 성악가
129,사진작가 및 사진사
253,"지휘자, 작곡가 및 연주가"
301,화가 및 조각가
128,사서 및 기록물 관리사
291,학예사 및 문화재 보존원
237,제도사
35,공연·영화 및 음반 기획자
95,만화가 및 만화영화 작가
182,운송 사무원
115,버스 운전원
274,택시 운전원
302,화물차·특수차 운전원
40,관제사
296,항공기 조종사