id_jobs,id_tag
27,1002
27,1001
27,2001
27,2002
27,4004
27,4005
27,4006
27,4003
27,6002
27,6003
27,6004
27,8001
27,8002
27,5001
27,5007
27,7002
27,4008
27,6018
27,8026
271,1001
271,1002
271,4001
271,4002
271,5001
271,5002
271,3003
271,7007
271,4008
271,6018
271,8026
196,2001
196,1002
196,1001
196,4001
196,4002
196,5001
196,5002
196,3005
196,7002
196,4008
196,6018
196,8026
161,1001
161,1002
161,2001
161,8010
161,8017
161,5001
161,5002
161,3003
161,7002
161,4008
161,6018
161,8026
41,1001
41,5008
41,3001
41,7002
41,7001
41,2002
41,2003
41,4004
41,4008
41,6018
41,8026
88,1001
88,5001
88,8007
88,8008
88,8017
88,8003
88,8024
88,8025
88,8021
88,8022
88,5002
88,3004
88,7002
88,4008
88,6018
88,8026
230,1001
230,2001
230,4001
230,4002
230,6001
230,8017
230,8014
230,8015
230,8016
230,8013
230,6017
230,6016
230,6014
230,5001
230,5002
230,3005
230,7005
230,4008
230,6018
230,8026
185,1001
185,4001
185,4002
185,8009
185,8017
185,8004
185,8023
185,8024
185,8025
185,6012
185,6017
185,6013
185,6014
185,6016
185,6015
185,5001
185,5002
185,3003
185,7002
185,4008
185,6018
185,8026
78,1001
78,4001
78,4002
78,8010
78,8017
78,8018
78,6011
78,5001
78,5002
78,3005
78,7006
78,4008
78,6018
78,8026
231,1002
231,1001
231,2001
231,4001
231,4002
231,5001
231,5005
231,5002
231,3005
231,7003
231,4008
231,6018
231,8026
200,1001
200,2002
200,4003
200,4007
200,5003
200,5002
200,3005
200,7005
200,4008
200,6018
200,8026
54,1003
54,2002
54,4004
54,8011
54,6005
54,8019
54,8017
54,8004
54,8023
54,8024
54,8025
54,5004
54,5008
54,3001
54,7002
54,4008
54,6018
54,8026
72,1001
72,2001
72,2002
72,4004
72,6007
72,6006
72,6010
72,6008
72,6005
72,8019
72,6009
72,5002
72,3001
72,7007
72,4008
72,6018
72,8026
71,7001
71,2002
71,2003
71,4004
71,5008
71,3001
71,7002
71,4008
71,6018
71,8026
94,1001
94,2001
94,2005
94,5001
94,3004
94,7002
94,4008
94,6018
94,8026
280,1001
280,2001
280,2005
280,4002
280,8018
280,8020
280,8012
280,8006
280,5001
280,5002
280,3004
280,7002
280,4008
280,6018
280,8026
111,1003
111,2004
111,4001
111,4002
111,8018
111,8005
111,8006
111,5002
111,3003
111,7003
111,4008
111,6018
111,8026
279,7001
279,8005
279,8006
279,5002
279,3003
279,7003
279,4008
279,6018
279,8026
278,2002
278,4001
278,4004
278,5004
278,5006
278,3003
278,7002
278,4008
278,6018
278,8026
103,7001
103,1001
103,5002
103,3002
103,7002
103,4008
103,6018
103,8026
112,1003
112,2002
112,2004
112,4001
112,8005
112,8006
112,5006
112,3003
112,7004
112,4008
112,6018
112,8026